0,7.00E-01
1.40E-02,6.99E-01
2.80E-02,6.99E-01
4.20E-02,6.99E-01
5.60E-02,6.99E-01
7.00E-02,6.98E-01
8.40E-02,6.97E-01
9.80E-02,6.96E-01
1.12E-01,6.94E-01
1.26E-01,6.91E-01
1.40E-01,6.87E-01
1.54E-01,6.80E-01
1.68E-01,6.71E-01
1.82E-01,6.57E-01
1.96E-01,6.32E-01
2.10E-01,5.76E-01
2.24E-01,4.54E-01
2.38E-01,2.96E-01
2.52E-01,1.37E-01
2.66E-01,5.21E-02
2.80E-01,2.92E-02
2.94E-01,1.83E-02
3.08E-01,1.19E-02
3.22E-01,7.80E-03
3.36E-01,5.16E-03
3.50E-01,3.41E-03
3.64E-01,2.24E-03
3.78E-01,1.47E-03
3.92E-01,9.55E-04
4.06E-01,6.19E-04
4.20E-01,3.99E-04
4.34E-01,2.57E-04
4.48E-01,1.65E-04
4.62E-01,1.05E-04
4.76E-01,6.74E-05
4.90E-01,4.31E-05
5.04E-01,2.76E-05
5.18E-01,1.76E-05
5.32E-01,1.13E-05
5.46E-01,7.27E-06
5.60E-01,4.70E-06
5.74E-01,3.06E-06
5.88E-01,2.01E-06
6.02E-01,1.35E-06
6.16E-01,9.23E-07
6.30E-01,6.56E-07
6.44E-01,4.87E-07
6.58E-01,3.82E-07
6.72E-01,3.17E-07
6.86E-01,2.77E-07
7.00E-01,2.55E-07
